-142, -48, 989
-225, -42, 999
-199, 13, 972
-199, 13, 972
-179, 38, 989
-194, 55, 948
-189, 12, 946
-147, -49, 954
-158, -70, 1006
-158, -70, 1006
-112, -78, 900
-75, -98, 931
-69, -51, 919
-21, -3, 920
21, -25, 870
21, -25, 870
26, 20, 931
43, 22, 898
82, -3, 950
82, -3, 950
130, 22, 974
191, 4, 914
252, -16, 987
252, -16, 987
288, -12, 993
307, 7, 985
305, 7, 982
305, 7, 982
274, 19, 1003
65, -15, 993
218, -24, 997
182, 13, 979
182, 13, 979
256, 32, 977
286, 35, 1009
315, 21, 942
315, 21, 942
284, 9, 1002
204, 4, 880
177, -30, 845
117, -54, 905
117, -54, 905
104, -28, 971
40, -33, 775
-38, -74, 959
-94, -45, 868
-94, -45, 868
-211, -48, 919
-311, -50, 966
-338, -47, 960
-350, -5, 989
-306, 14, 974
-319, 9, 1003
