"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U720","2020-02-12 00:00:00","1260.000","238.000","1.100","11.200","1.000","893.200","","0.000","-99.000","-99.000","-99.000","14.700","","7.400",""
"C0R690","2020-02-12 00:00:00","248.000","78.000","1.600","20.200","0.800","992.700","","0.000","-99.000","-99.000","-99.000","21.100","","17.300",""
"C0X150","2020-02-12 00:00:00","18.000","37.000","1.600","18.800","0.910","1020.400","","0.000","-99.000","-99.000","-99.000","22.400","","16.700",""
"C0Z050","2020-02-12 00:00:00","830.000","267.000","0.300","13.000","0.870","931.200","","0.000","-99.000","-99.000","-99.000","15.100","","10.000",""
"C0I490","2020-02-12 00:00:00","1601.000","93.000","1.300","10.800","0.840","847.300","","0.000","-99.000","-99.000","-99.000","13.400","","7.300",""
"C0I090","2020-02-12 00:00:00","910.000","129.000","0.800","15.000","0.750","919.100","","0.000","-99.000","-99.000","-99.000","17.300","","11.300",""
"C0X240","2020-02-12 00:00:00","394.000","158.000","0.600","15.200","0.880","976.000","","0.000","-99.000","-99.000","-99.000","20.400","","15.200",""
"C0S990","2020-02-12 00:00:00","409.000","20.000","3.200","17.900","0.790","976.400","","0.000","-99.000","-99.000","-99.000","19.100","","15.800",""
"C0E850","2020-02-12 00:00:00","104.000","0.000","0.000","15.900","0.940","1008.000","","0.000","-99.000","-99.000","-99.000","22.200","","13.300",""
"C0T9B0","2020-02-12 00:00:00","558.000","206.000","1.600","17.400","0.640","959.800","","0.000","-99.000","-99.000","-99.000","17.400","","12.500",""
"C0G650","2020-02-12 00:00:00","34.000","0.000","0.100","18.100","0.990","1016.700","","0.000","-99.000","-99.000","-99.000","23.700","","15.400",""
"C0K580","2020-02-12 00:00:00","26.000","318.000","1.200","17.400","0.990","1019.300","","0.000","-99.000","-99.000","-99.000","22.200","","15.800",""
"C0D550","2020-02-12 00:00:00","1956.000","183.000","0.400","8.600","0.700","815.100","","0.000","-99.000","-99.000","-99.000","9.700","","5.200",""
"C0C630","2020-02-12 00:00:00","209.000","193.000","1.300","15.800","0.940","996.500","","0.000","-99.000","-99.000","-99.000","21.000","","14.300",""
"C0A9A0","2020-02-12 00:00:00","24.000","0.000","0.000","17.300","0.930","1018.300","","0.000","-99.000","-99.000","-99.000","23.100","","16.400",""
"C0A980","2020-02-12 00:00:00","11.000","0.000","0.000","16.300","0.930","1020.700","","0.000","-99.000","-99.000","-99.000","24.200","","15.100",""
"C0V760","2020-02-12 00:00:00","30.000","20.000","0.900","19.600","0.960","1017.600","","0.000","-99.000","-99.000","-99.000","23.900","","17.300",""
"C0T9I0","2020-02-12 00:00:00","152.000","191.000","1.200","17.300","0.780","1006.300","","0.000","-99.000","-99.000","-99.000","21.200","","14.400",""
"C0O980","2020-02-12 00:00:00","18.000","64.000","1.100","17.800","0.970","1020.100","","0.000","-99.000","-99.000","-99.000","21.900","","16.300",""
"C0R270","2020-02-12 00:00:00","51.000","34.000","2.600","21.100","0.760","1013.800","","0.000","-99.000","-99.000","-99.000","24.400","","17.000",""
"C0T9H0","2020-02-12 00:00:00","725.000","223.000","2.700","14.900","0.890","941.200","","0.000","-99.000","-99.000","-99.000","17.300","","11.700",""
"C0A660","2020-02-12 00:00:00","97.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0A890","2020-02-12 00:00:00","40.000","335.000","0.800","-99.000","0.820","-99.000","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0O840","2020-02-12 00:00:00","134.000","69.000","0.300","17.300","0.950","1003.700","","0.000","-99.000","-99.000","-99.000","21.000","","15.200",""
"C0R530","2020-02-12 00:00:00","16.000","349.000","2.700","20.000","0.690","1018.800","","0.000","-99.000","-99.000","-99.000","23.400","","16.800",""
"C0G870","2020-02-12 00:00:00","12.000","357.000","1.400","17.700","0.930","1020.500","","0.000","-99.000","-99.000","-99.000","20.300","","15.800",""
"C0M820","2020-02-12 00:00:00","980.000","216.000","0.800","13.800","0.760","911.800","","0.000","-99.000","-99.000","-99.000","17.300","","12.100",""
"C0F9S0","2020-02-12 00:00:00","43.000","176.000","1.100","18.800","0.830","1015.900","","0.000","-99.000","-99.000","-99.000","22.500","","16.400",""
"C0R160","2020-02-12 00:00:00","45.000","313.000","2.100","18.900","0.990","1014.900","","0.000","-99.000","-99.000","-99.000","22.500","","16.900",""
"C0A950","2020-02-12 00:00:00","60.000","151.000","3.000","20.500","0.710","1013.700","","0.000","10.400","146.000","","21.700","","18.100",""
"C0F9L0","2020-02-12 00:00:00","253.000","0.000","0.000","18.300","0.900","990.800","","0.000","-99.000","-99.000","-99.000","21.000","","14.900",""
"C0R550","2020-02-12 00:00:00","38.000","325.000","2.300","19.900","0.720","1017.000","","0.000","-99.000","-99.000","-99.000","23.700","","14.600",""
"C0V530","2020-02-12 00:00:00","34.000","75.000","0.400","18.100","1.000","1016.500","","0.000","-99.000","-99.000","-99.000","22.500","","15.700",""
